epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.316,0.70096,1.68002,0.996,0.83692,0.79189,0.84538,0.68751,0.67446,1.25438,0.94356,0.000554013,0.000554013,0.000554013
2,416.44,0.76785,1.24606,1.01555,0.88377,0.82961,0.88902,0.71978,0.64439,1.05737,0.89978,0.00108771,0.00108771,0.00108771
3,627.586,0.77863,1.06623,1.02232,0.86818,0.79732,0.87173,0.71386,0.65631,1.12717,0.91708,0.0015994,0.0015994,0.0015994
4,842.944,0.74435,0.89124,1.01317,0.86987,0.87397,0.90927,0.75114,0.63817,0.84299,0.91498,0.00156798,0.00156798,0.00156798
5,1045.7,0.72091,0.80717,0.99574,0.92575,0.89077,0.93307,0.76177,0.60155,0.63422,0.8996,0.00153497,0.00153497,0.00153497
6,1248.22,0.67397,0.70243,0.98085,0.9143,0.87273,0.9168,0.7875,0.53434,0.58668,0.86312,0.00150197,0.00150197,0.00150197
7,1450.31,0.65344,0.66693,0.96585,0.90017,0.87824,0.90835,0.76881,0.56655,0.58662,0.87281,0.00146896,0.00146896,0.00146896
8,1655.99,0.66187,0.61867,0.97169,0.92827,0.87575,0.92183,0.79246,0.54276,0.55904,0.8647,0.00143595,0.00143595,0.00143595
9,1858.88,0.62577,0.61346,0.95269,0.93997,0.87781,0.93677,0.81428,0.51064,0.50615,0.85593,0.00140295,0.00140295,0.00140295
10,2066.73,0.61953,0.58248,0.9493,0.96753,0.88128,0.95079,0.81019,0.5118,0.48487,0.84836,0.00136994,0.00136994,0.00136994
11,2275.56,0.60952,0.56233,0.94758,0.94684,0.89872,0.94883,0.80558,0.52411,0.49733,0.85989,0.00133693,0.00133693,0.00133693
12,2477.79,0.58476,0.53667,0.94191,0.92345,0.91527,0.95245,0.80713,0.51267,0.48727,0.8621,0.00130393,0.00130393,0.00130393
13,2680.02,0.60099,0.54407,0.94444,0.96401,0.93985,0.96263,0.83246,0.50562,0.42865,0.84836,0.00127092,0.00127092,0.00127092
14,2882.39,0.56824,0.51468,0.93681,0.93056,0.90646,0.95485,0.83,0.48925,0.4377,0.84136,0.00123791,0.00123791,0.00123791
15,3084.3,0.56448,0.50149,0.93065,0.94821,0.91106,0.95164,0.84085,0.46857,0.41712,0.83651,0.00120491,0.00120491,0.00120491
16,3286.39,0.55875,0.4886,0.92272,0.95558,0.92019,0.95494,0.84474,0.45994,0.42001,0.83262,0.0011719,0.0011719,0.0011719
17,3489.82,0.54115,0.47192,0.9133,0.94314,0.93504,0.96623,0.84756,0.44932,0.37259,0.8375,0.00113889,0.00113889,0.00113889
18,3691.96,0.52021,0.45103,0.91113,0.94556,0.92067,0.96371,0.84875,0.45709,0.37742,0.83144,0.00110589,0.00110589,0.00110589
19,3894.74,0.52295,0.44878,0.91514,0.96644,0.92476,0.96434,0.84832,0.47134,0.37134,0.83977,0.00107288,0.00107288,0.00107288
20,4096.75,0.52633,0.43615,0.91794,0.93289,0.92618,0.96086,0.85252,0.43585,0.37002,0.825,0.00103987,0.00103987,0.00103987
21,4298.82,0.50579,0.43074,0.90785,0.94217,0.92069,0.95712,0.85522,0.425,0.37595,0.8239,0.00100687,0.00100687,0.00100687
22,4501.14,0.49594,0.43338,0.90718,0.95014,0.92993,0.96537,0.86048,0.41324,0.33993,0.82139,0.000973861,0.000973861,0.000973861
23,4703.41,0.48612,0.41505,0.90053,0.95185,0.93246,0.96454,0.85646,0.42693,0.3417,0.82681,0.000940855,0.000940855,0.000940855
24,4905.61,0.4727,0.41018,0.9007,0.94441,0.93285,0.96294,0.85495,0.42197,0.35129,0.82796,0.000907848,0.000907848,0.000907848
25,5107.59,0.4882,0.40535,0.90054,0.95239,0.93745,0.96575,0.86572,0.42025,0.33611,0.81776,0.000874842,0.000874842,0.000874842
26,5310.34,0.47817,0.40076,0.90873,0.93839,0.9341,0.96635,0.86654,0.40403,0.32889,0.82217,0.000841835,0.000841835,0.000841835
27,5512.1,0.47922,0.39636,0.89967,0.95807,0.93291,0.96689,0.86164,0.41389,0.34942,0.82049,0.000808828,0.000808828,0.000808828
28,5714.38,0.46233,0.37577,0.89203,0.95045,0.93352,0.96764,0.85908,0.41826,0.3384,0.81688,0.000775822,0.000775822,0.000775822
29,5916.25,0.47303,0.37392,0.89346,0.96163,0.9428,0.97037,0.86959,0.40493,0.31194,0.82135,0.000742815,0.000742815,0.000742815
30,6118.17,0.44331,0.36774,0.88924,0.96268,0.93298,0.97145,0.87492,0.39614,0.30286,0.81359,0.000709809,0.000709809,0.000709809
31,6320.56,0.43501,0.35217,0.88178,0.95479,0.94186,0.96786,0.87651,0.38931,0.30648,0.81097,0.000676802,0.000676802,0.000676802
32,6522.56,0.42993,0.35254,0.88139,0.96511,0.94602,0.9726,0.87355,0.37503,0.29282,0.8094,0.000643795,0.000643795,0.000643795
33,6725.41,0.4321,0.34497,0.88444,0.93648,0.95928,0.97423,0.87893,0.39876,0.28459,0.81383,0.000610789,0.000610789,0.000610789
34,6927.73,0.40818,0.3384,0.87407,0.94294,0.95531,0.97119,0.88012,0.38724,0.29353,0.81581,0.000577782,0.000577782,0.000577782
35,7130.29,0.42089,0.33774,0.87342,0.96161,0.94012,0.97137,0.87144,0.40359,0.29,0.81631,0.000544776,0.000544776,0.000544776
36,7332.69,0.4133,0.33012,0.87846,0.94687,0.95518,0.97694,0.88046,0.38392,0.28183,0.81021,0.000511769,0.000511769,0.000511769
37,7534.91,0.4196,0.33574,0.88054,0.97183,0.93613,0.97543,0.88106,0.37679,0.2784,0.8102,0.000478762,0.000478762,0.000478762
38,7736.97,0.40141,0.33076,0.87386,0.94752,0.9496,0.97713,0.88985,0.36234,0.27317,0.80492,0.000445756,0.000445756,0.000445756
39,7939.87,0.39578,0.31902,0.87491,0.95927,0.94038,0.97277,0.88264,0.3762,0.26969,0.81587,0.000412749,0.000412749,0.000412749
40,8143.26,0.39693,0.31914,0.87398,0.96038,0.9413,0.97803,0.88842,0.37239,0.26624,0.80832,0.000379743,0.000379743,0.000379743
41,8341.92,0.34067,0.2658,0.80445,0.94543,0.9511,0.97724,0.88381,0.3702,0.2802,0.80794,0.000346736,0.000346736,0.000346736
42,8540.8,0.33246,0.25571,0.81589,0.96238,0.94333,0.97832,0.88668,0.3679,0.27247,0.80506,0.000313729,0.000313729,0.000313729
43,8739.83,0.32747,0.24729,0.80491,0.9446,0.94977,0.97488,0.88806,0.37011,0.27138,0.81097,0.000280723,0.000280723,0.000280723
44,8941.18,0.31722,0.24583,0.80847,0.9558,0.93832,0.97578,0.89042,0.34997,0.25323,0.80698,0.000247716,0.000247716,0.000247716
45,9142.38,0.31162,0.23607,0.80648,0.95159,0.95284,0.97617,0.88731,0.34722,0.25371,0.80298,0.00021471,0.00021471,0.00021471
46,9346.97,0.30754,0.23379,0.80707,0.94101,0.95678,0.97897,0.89166,0.34027,0.24971,0.79734,0.000181703,0.000181703,0.000181703
47,9549.66,0.30581,0.22921,0.81011,0.94659,0.9578,0.97836,0.89466,0.33618,0.24559,0.7967,0.000148696,0.000148696,0.000148696
48,9750.22,0.29742,0.22179,0.80539,0.95356,0.94883,0.97936,0.8996,0.3346,0.23981,0.79497,0.00011569,0.00011569,0.00011569
49,9954.34,0.28877,0.22322,0.80357,0.95447,0.95057,0.97968,0.90158,0.32902,0.23712,0.79509,8.26832e-05,8.26832e-05,8.26832e-05
50,10155.3,0.28457,0.21679,0.79889,0.94982,0.95712,0.97962,0.90409,0.32554,0.23644,0.79435,4.96766e-05,4.96766e-05,4.96766e-05
